Date,Composite,One_storey,Two_storey,Townhouse,Apartment_unit
1/1/2005,241000,208700,303900,202500,174500
2/1/2005,241800,209400,304300,203100,175600
3/1/2005,242600,210100,305300,203700,176400
4/1/2005,243300,211100,305800,204200,177200
5/1/2005,243800,211500,306400,204600,178100
6/1/2005,245300,212300,308300,205400,179400
7/1/2005,247400,214500,310700,207400,180700
8/1/2005,249700,216900,313400,209300,181700
9/1/2005,252200,219300,315900,211900,185700
10/1/2005,255100,222000,319500,214000,186800
11/1/2005,257900,224700,322600,216700,188900
12/1/2005,260500,227100,325700,218500,191000
1/1/2006,263700,230000,329200,222000,193500
2/1/2006,266400,232600,332100,225000,195800
3/1/2006,269300,235400,335600,227600,197800
4/1/2006,272600,238600,339300,230800,200200
5/1/2006,275900,241900,342700,234500,202900
6/1/2006,278800,244900,345700,238600,205400
7/1/2006,281600,247600,348400,241800,208100
8/1/2006,284500,250400,351300,245300,211000
9/1/2006,287400,253000,354600,247800,214200
10/1/2006,288800,254900,355400,250800,215200
11/1/2006,290800,257300,357500,252900,216400
12/1/2006,293200,260400,359600,255700,218100
1/1/2007,295600,262600,362100,257700,220300
2/1/2007,299000,265800,366400,260000,222300
3/1/2007,301700,268500,369100,263200,225100
4/1/2007,304500,271100,372400,265200,227400
5/1/2007,307700,274600,376000,267800,229800
6/1/2007,310700,277700,379100,270100,232200
7/1/2007,313300,280200,382200,272100,234400
8/1/2007,315300,281800,384600,274400,236200
9/1/2007,317400,283900,387100,275500,238000
10/1/2007,319300,285600,389400,277000,239600
11/1/2007,321100,287200,391200,278800,242000
12/1/2007,323200,288200,394200,280800,243700
1/1/2008,324800,289800,395900,282500,245300
2/1/2008,325200,290200,396500,283100,245600
3/1/2008,325300,290400,396200,283600,245900
4/1/2008,324100,289100,394700,283900,245300
5/1/2008,322300,287200,392400,283100,244200
6/1/2008,320600,285600,390300,281900,242700
7/1/2008,318300,283200,387400,280300,241300
8/1/2008,316300,281700,384800,278600,239600
9/1/2008,314500,279900,382500,277100,238000
10/1/2008,310400,276200,377600,274600,235000
